2-THETA,INTENSITY
24.15,28.73
33.15,100.00
35.64,73.67
39.25,2.05
40.86,17.99
43.52,1.94
49.46,37.43
54.05,45.13
57.46,2.34
57.56,8.52
62.44,30.65
64.02,29.47
69.56,3.04
71.89,10.86
72.24,1.73
75.48,6.96
77.74,1.26
77.74,1.26
80.61,1.58
80.69,4.23
82.90,5.63
84.95,8.65
88.56,7.94
