2-THETA,INTENSITY
23.07,8.10
29.42,100.00 
31.46,2.43
36.00,13.71
39.44,20.16
43.19,14.26
47.15,6.16
47.54,19.67
48.54,20.02
56.61,3.73
57.44,9.18
60.72,5.28
61.05,2.41
61.43,3.18
63.10,2.29
64.71,6.84
65.67,3.91
69.24,1.51
70.30,2.13
72.95,2.69
77.23,1.93
81.60,2.24
83.84,1.57
