2-THETA,INTENSITY
22.02,2.05
24.03,2.21
30.86,100.00
33.35,4.60
35.19,5.19
37.35,11.44
41.08,17.99
41.08,5.68
43.78,4.13
44.91,13.87
49.20,4.36
50.29,18.07
50.93,6.78
50.93,12.85
50.99,1.24
58.87,2.51
58.87,1.93
59.79,3.00
59.79,6.96
63.37,3.19
63.37,2.44
64.29,2.68
64.89,2.24
65.98,2.73
67.37,6.67
70.05,3.72
72.70,2.17
74.39,2.92
76.78,2.53
82.17,1.87
86.33,1.01
86.33,1.43
87.81,1.52
